id,labels,properties
245,['Article'],"{'category': 'travel', 'createdAt': '2024-11-15T12:54:42.471Z', 'url': 'https://www.thehindu.com/news/national/pm-modis-aircraft-develops-technical-snag-at-deoghar-airport/article68871945.ece?cx_testId=81&cx_testVariant=cx_1&cx_artPos=3&cx_experienceId=EXPO56ZDYSGX&cx_experienceActionId=showRecommendations7EV8PP8TM51R64#cxrecs_s'}"
246,['Tag'],{'name': 'chatbot gemini verbally'}
247,['Category'],{'name': 'travel'}
248,['Tag'],{'name': 'Narendra Modi'}
249,['Tag'],{'name': 'Modi'}
250,['Tag'],{'name': 'Jamui'}
251,['Tag'],{'name': 'Birsa Munda'}
252,['Tag'],{'name': 'Janjatiya Gaurav Divas'}
253,['Tag'],{'name': 'Vishal Sagar'}
254,['Tag'],{'name': 'Rahul Gandhi'}
255,['Tag'],{'name': 'Gandhi'}
256,['Tag'],{'name': 'Deepika Pandey Singh'}
257,['Tag'],{'name': 'Delhi'}
258,['Tag'],{'name': 'IAF'}
259,['Tag'],{'name': 'Jharkhand'}
260,['Tag'],{'name': 'New Delhi'}
261,['Tag'],{'name': 'the Indian Air Force'}
262,['Tag'],{'name': 'Bihar'}
263,['Tag'],{'name': 'PTI'}
264,['Tag'],{'name': 'Godda'}
265,['Tag'],{'name': 'Centre'}
266,['Tag'],{'name': 'modi left delhi'}
267,['Tag'],{'name': 'flew delhi plane'}
268,['Tag'],{'name': 'flew delhi'}
269,['Tag'],{'name': 'pm leaves delhi'}
270,['Tag'],{'name': 'snag flew delhi'}
271,['Tag'],{'name': 'modi supposed fly'}
272,['Tag'],{'name': 'delhi deoghar aircraft'}
273,['Tag'],{'name': 'fly new delhi'}
274,['Tag'],{'name': 'narendra modi stranded'}
275,['Tag'],{'name': 'ai chatbot gemini'}
276,['Tag'],{'name': 'delhi plane'}
277,['Article'],"{'category': 'academic interests', 'createdAt': '2024-11-15T12:54:48.260Z', 'url': 'https://www.thehindu.com/education/ayurveda-biology-in-net-jagadesh-kumar-explains-why-some-experts-add-caveats/article68863060.ece?cx_testId=81&cx_testVariant=cx_1&cx_artPos=1&cx_experienceId=EXPO56ZDYSGX&cx_experienceActionId=showRecommendations7EV8PP8TM51R64#cxrecs_s'}"
278,['Tag'],{'name': 'Kumar'}
279,['Tag'],{'name': 'Ayurveda Biology'}
280,['Tag'],{'name': 'Sharira Rachna'}
281,['Tag'],{'name': 'M. Jagadesh Kumar'}
282,['Tag'],{'name': 'Jagadesh Kumar'}
283,['Tag'],{'name': 'Chandra Lakhotia'}
284,['Tag'],{'name': 'Lakhotia'}
285,['Tag'],{'name': 'Sharira Kriya'}
286,['Tag'],{'name': 'Surgery'}
287,['Tag'],{'name': 'Marthanda Varma'}
288,['Tag'],{'name': 'Valiathan'}
289,['Tag'],{'name': 'Susruta'}
290,['Tag'],{'name': 'G. Sivaraman'}
291,['Tag'],{'name': 'Sivaraman'}
292,['Tag'],{'name': 'Siddha'}
293,['Tag'],{'name': 'Sam Pitroda'}
294,['Tag'],{'name': 'Darshan Shankar'}
295,['Tag'],{'name': 'Gurmeet Singh'}
296,['Tag'],{'name': 'NET'}
297,['Tag'],{'name': 'Jagadesh'}
298,['Tag'],{'name': 'the University Grants Commission'}
299,['Tag'],{'name': 'UGC'}
300,['Tag'],{'name': 'the National Eligibility Test'}
301,['Tag'],{'name': 'the National Testing Agency'}
302,['Tag'],{'name': 'NTA'}
303,['Tag'],{'name': 'UGC-NET'}
304,['Tag'],{'name': 'Ayurveda'}
305,['Tag'],{'name': 'Kriya'}
306,['Tag'],"{'name': 'Microbiology, Immunology,'}"
307,['Tag'],{'name': 'Genetics'}
308,['Tag'],{'name': 'the National Education Policy 2020’s'}
309,['Tag'],{'name': 'UGC NET'}
310,['Tag'],{'name': 'Indian Knowledge Systems'}
311,['Tag'],{'name': 'IKS'}
312,['Tag'],{'name': 'BHU'}
313,['Tag'],{'name': 'Lifetime'}
314,['Tag'],{'name': 'SERB Distinguished Fellow Cytogenetics Laboratory'}
315,['Tag'],{'name': 'BAMS'}
316,['Tag'],{'name': 'Bachelor of Ayurvedic Medicine'}
317,['Tag'],{'name': 'Ayurvedic Biology'}
318,['Tag'],{'name': 'Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST'}
319,['Tag'],{'name': 'Charaka'}
320,['Tag'],{'name': 'Vagbhata'}
321,['Tag'],{'name': 'Indian Knowledge System'}
322,['Tag'],{'name': 'the Jawaharlal Nehru University'}
323,['Tag'],{'name': 'JNU'}
324,['Tag'],{'name': 'the University of Trans-Disciplinary Health Sciences and Technology'}
325,['Tag'],{'name': 'TDU'}
