id,labels,properties
58,['Tag'],{'name': 'Tripura'}
59,['Tag'],{'name': 'Lala Deen Dayal'}
60,['Tag'],{'name': 'Maharaja'}
61,['Tag'],{'name': 'Telangana'}
62,['Tag'],{'name': 'Amazon'}
63,['Tag'],{'name': 'Ghana'}
64,['Tag'],{'name': 'The Promotion of Proper Human Sexual Rights and Family Values'}
65,['Tag'],{'name': 'Odisha'}
66,['Tag'],{'name': 'Indian Photo Festival 2024'}
67,['Tag'],{'name': 'State Gallery of Art'}
68,['Tag'],{'name': 'photography festival india'}
69,['Tag'],{'name': 'photo festival ipf'}
70,['Tag'],{'name': 'indian photo festival'}
71,['Tag'],{'name': 'photographers india'}
72,['Tag'],{'name': 'pradesh emerging photographer'}
73,['Tag'],{'name': 'exhibitions check indianphotofest'}
74,['Tag'],{'name': 'exhibition photography strictly'}
75,['Tag'],{'name': 'exhibition photography'}
76,['Tag'],{'name': 'masterclasses indian photo'}
77,['Tag'],{'name': 'photography art'}
78,['Article'],"{'category': 'news and politics', 'createdAt': '2024-11-15T12:53:43.367Z', 'url': 'https://www.thehindu.com/education/trumps-triumph-what-it-means-for-study-abroad-aspirants-from-india/article68848670.ece?cx_testId=81&cx_testVariant=cx_1&cx_artPos=1&cx_experienceId=EXPO56ZDYSGX&cx_experienceActionId=showRecommendations7EV8PP8TM51R64#cxrecs_s'}"
79,['Category'],{'name': 'news and politics'}
80,['Tag'],{'name': 'Trump'}
81,['Tag'],{'name': 'Donald Trump'}
82,['Tag'],{'name': 'Bill'}
83,['Tag'],{'name': 'Steve Bannon'}
84,['Tag'],{'name': 'Stephen Miller'}
85,['Tag'],{'name': 'Elon Musk'}
86,['Tag'],{'name': 'Musk'}
87,['Tag'],{'name': 'Usha Vance'}
88,['Tag'],{'name': 'Pavithra Srinivasan'}
89,['Tag'],{'name': 'CBS News'}
90,['Tag'],{'name': 'The United States'}
91,['Tag'],{'name': 'the QS World University Rankings'}
92,['Tag'],{'name': 'the United States'}
93,['Tag'],{'name': 'OPT & H-1B'}
94,['Tag'],{'name': 'The Optional Practical Training'}
95,['Tag'],{'name': 'OPT'}
96,['Tag'],"{'name': 'Science, Technology, Engineering'}"
97,['Tag'],{'name': 'Non-STEM'}
98,['Tag'],{'name': 'H-1B'}
99,['Tag'],{'name': 'US'}
100,['Tag'],{'name': 'Kunal Bahl'}
101,['Tag'],"{'name': 'Indian E-Commerce Startup, Snapdeal'}"
102,['Tag'],{'name': 'Elon'}
103,['Tag'],{'name': 'Vivek Ramaswamy'}
104,['Tag'],{'name': 'J.D. Vance'}
105,['Tag'],{'name': 'Engineering'}
106,['Tag'],{'name': 'Stanford University'}
107,['Tag'],{'name': 'Co-founder & COO'}
108,['Tag'],{'name': 'Galvanize Global Education'}
109,['Tag'],{'name': 'country american universities'}
110,['Tag'],{'name': 'american universities receive'}
111,['Tag'],{'name': 'american universities'}
112,['Tag'],{'name': 'higher education substantial'}
113,['Tag'],{'name': 'universities receive considerable'}
114,['Tag'],{'name': 'universities 100 significantly'}
115,['Tag'],{'name': 'study abroad chances'}
116,['Tag'],{'name': 'international universities'}
117,['Tag'],{'name': 'aspirants international universities'}
118,['Tag'],{'name': 'qualified international students'}
119,['Article'],"{'category': 'business and finance', 'createdAt': '2024-11-15T12:53:50.234Z', 'url': 'https://www.thehindu.com/business/Economy/rupee-may-depreciate-8-10-during-trump-20-says-sbi-report/article68856168.ece?cx_testId=81&cx_testVariant=cx_1&cx_artPos=3&cx_experienceId=EXPO56ZDYSGX&cx_experienceActionId=showRecommendations7EV8PP8TM51R64#cxrecs_s'}"
120,['Category'],{'name': 'business and finance'}
121,['Tag'],{'name': 'Donald J Trump’s'}
122,['Tag'],{'name': 'Joe Biden'}
123,['Tag'],{'name': 'ITeS'}
124,['Tag'],{'name': 'Rupee'}
125,['Tag'],{'name': 'SBI'}
126,['Tag'],{'name': 'U.S'}
127,['Tag'],{'name': 'U.S. Presidential Election 2024: How Trump 2.0 Impacts India’s'}
128,['Tag'],{'name': 'U.S.'}
129,['Tag'],{'name': 'Global Economy'}
130,['Tag'],{'name': 'Forex'}
131,['Tag'],{'name': 'FDI'}
132,['Tag'],{'name': 'Trump 1.0'}
133,['Tag'],{'name': 'trump impacts india'}
134,['Tag'],{'name': 'trump said rupee'}
135,['Tag'],{'name': 'said rupee depreciated'}
136,['Tag'],{'name': 'rupee depreciate sharply'}
137,['Tag'],{'name': 'rupee depreciate'}
138,['Tag'],{'name': 'fear rupee depreciate'}
139,['Tag'],{'name': 'rupee depreciated'}
140,['Tag'],{'name': 'rupee depreciate 10'}
141,['Tag'],{'name': 'depreciate 10 trump'}
142,['Tag'],{'name': 'noted depreciation rupee'}
